,ID,ID2,NAMAD,DESC,UN1,VOLUME,UN2,UN3,CAT,UN4,TYPE
161,13227300125161435,IRO1SSOF0001,سصوفي,سيمان‌ صوفيان‌,122614,4505039,440000,607,53,1100000000,300
162,13281937213456378,IRO3RSKZ0001,حسير,ريل سير كوثر,122951,4001319,1,789,60,602947306,303
163,13515337669432764,IRO9IKCO0911,ضخود7027,اختيارخ خودرو-4800-1398/07/14,61106,0,1,7,34,1000,311
164,13611044044646901,IRO1BMEL0001,ملت,بيمه ملت,123001,3287834,1140000,1115,66,2850000000,300
165,13891373690607361,IRB4SR260091,سلامت6,مرابحه سلامت6واجدشرايط خاص1400,122950,8300,1,162,69,17380000,706
166,13937270451301973,IRO1TSBE0001,وبشهر,توسعه‌ صنايع‌ بهشهر(هلدينگ,122958,6347539,3300000,905,42,8250000000,300
167,13967269682146651,IRO9PNES0771,ضشنا3020,اختيارخ شپنا-11000-1398/03/22,61110,0,1,22,23,1000,311
168,14061572253297066,IRO1SPAH0002,وسپه2,سرمايه‌گذاري‌ سپه‌,120831,48000000,1,17,56,6691000000,300
169,14231831499205396,IRO1SSNR0001,سنير,سيمان‌ سفيد ني‌ريز,122941,139378,40000,747,53,100000000,300
170,14312030900097668,IRO3PGPZ0001,غگلپا,شير پاستوريزه پگاه گلپايگان,122352,2033352,1,644,42,120000000,303
171,14398278072324784,IRO1GHEG0001,قهكمت,قندهكمتان‌,122947,1326466,109440,1108,38,273600000,300
172,14419553185076635,IRO9IKCO0821,ضخود3025,اختيارخ خودرو-4800-1398/03/19,61106,0,1,26,34,1000,311
173,14617104402836487,IRO1SEIL0001,سيلام,سيمان‌ ايلام‌,122950,4990260,165000,897,53,412500000,300
174,14798249266057986,IRB4SM0698C1,اشاد6,مشاركت دولتي6-شرايط خاص981201,121521,300,1,164,69,23953289,706
175,14800142337291217,IRO3FAYZ0001,فولاي,صنايع فولاد آلياژي يزد,124400,6091455,1,975,27,134000000,303
176,14880127004206268,IRO7AIBP0001,وآداك,صنعت و تجارت آداك,61043,0,1,161,56,870000000,309
177,14957056743925737,IRO1LENT0001,خلنت,لنت‌ ترمزايران‌,113342,158461,40151,967,34,88000000,300
178,15039949673085566,IRO1AYEG0001,پرديس,سرمايه گذاري پرديس,122940,10437415,500000,1026,56,1250000000,300
179,15124889255100138,IRT3VC010001,رويش,ص.س.جسورانه رويش لوتوس70%تأديه,61056,0,1,54,68,500000,305
180,15221664222769132,IRO6MSKZ9811,تسه9801,امتياز تسهيلات مسكن فروردين98,122935,37457,1,275,59,1755275,307
181,15259343650667588,IRO1GGAZ0001,قزوين,كارخانجات‌ قند قزوين‌,122959,3527967,132079,1379,38,330196748,300
182,15367844410233944,IRO9FOLD4091,ضفلا2020,اختيارخ فولاد-3750-1398/02/31,61104,0,1,40,27,1733,311
183,15374483986949695,IRO7PDHP0001,دهدشت,صنايع پتروشيمي دهدشت,61047,0,1,211,44,1549430000,309
184,15424938732223941,IRB3SHSZ9911,صشرق99,مرابحه سيمان شرق 990109,61025,0,1,62,69,64000,306
185,15451317146134956,IRT1OMEL0001,افق ملت,صندوق س در سهام افق ملت,122048,2116130,1,117,68,50000000,305
186,15472396110662150,IRO1SKER0001,سكرما,سيمان‌ كرمان‌,122954,8439315,396576,1403,53,991440000,300
187,15726796686853780,IRO3OSHZ0001,ثعمرا,عمران و توسعه شاهد,122952,15578848,1,963,70,1300000000,303
188,15826229869421585,IRO1MNMH0001,تمحركه,ماشين‌سازي‌نيرومحركه‌,122958,10534714,169377,757,29,121843000,300
189,15890655003477913,IRB3SA1100C1,اروند11,منفعت صبا اروند سپهر 14001222,61025,0,1,95,69,5000000,306
190,15917865009187760,IRO3IOMZ0001,ماديرا,صنايع ماشين هاي اداري ايران,122958,5641072,1,1009,26,1200000000,303
191,15930821245168534,IRO7KACP0001,سكارون,سيمان كارون,61045,0,1,580,53,208833333,309
192,15949743338644220,IRO1SURO0001,ساروم,سيمان‌اروميه‌,122950,1389516,280000,644,53,700000000,300
193,16236181211342354,IRB3SI2799B1,اجاد27,اجاره دولت آپرورش-كاردان991118,61026,0,1,141,69,1000000,306
194,16303324355390262,IRB4SF010061,افاد1,منفعت دولت-با شرايط خاص140006,61028,0,1,144,69,30000000,706
195,16315910303613772,IRO7IKDP0001,خاور,ايران خودرو ديزل,123020,58850904,1,1469,34,4989059000,309
196,16369313804633525,IRO1HJPT0001,حپترو,حمل و نقل پتروشيمي( سهامي عام,122915,1067561,131926,544,60,200000000,300
197,16405556680571453,IRO1KCHI0001,كخاك,صنايع‌خاك‌چيني‌ايران‌,122958,1189904,150000,681,54,375000000,300
198,16410724132711490,IRO3GFRZ0001,غفارس,شير پاستوريزه پگاه فارس,122607,66520,1,409,42,244705000,303
199,16553062355259729,IRO7MILP0001,بميلا,توسعه بازرگاني آهن وفولادميلاد,123020,4976967,1,948,46,320000000,309
200,16624619780986354,IRO9PNBA0721,ضبدر2013,اختيارخ شبندر-12000-98/02/18,61109,0,1,39,23,1000,311
201,16673205196919832,IRO7FAPP0001,شفارا,پتروشيمي فارابي,61044,0,1,1271,44,2630463000,309
202,16693610252404739,IRO3SLVZ0001,ثالوند,سرمايه گذاري مسكن الوند,121049,13840490,1,674,70,500000000,303
203,16725382720692568,IRO3MSZ96031,تسه9603,امتياز تسهيلات مسكن خرداد 96,121930,1067,1,109,59,1307597,303
204,16777570760181431,IRO7PKZP0001,كازرو,پتروشيمي كازرون,123054,168341,1,335,44,1230000000,309
205,16959429956899455,IRO1AMLH0001,شاملا,معدني‌ املاح‌  ايران‌,122616,181650,84000,656,44,210000000,300
206,17011820131539756,IRO9MAPN0291,ضپنا7016,اختيارخ رمپنا-8000-1398/07/17,61107,0,1,6,74,1000,311
207,17043857246932770,IRB3TB269881,اخزا615,اسنادخزانه-م15بودجه96-980820,120858,14517,1,219,69,7000000,306
208,17054715758780371,IRO9GOLG0851,ضگل2018,اختيارخ كگل-6650-1398/02/29,61105,0,1,31,13,1278,311
209,17059960254855208,IRO1BENN0001,غبهنوش,بهنوش‌ ايران‌,122951,190678,144000,415,42,360000000,300
210,17081426540353962,IRB3TB209841,اخزا608,اسنادخزانه-م8بودجه96-980411,122953,44067,1,240,69,16000000,306
211,17214465155779478,IRO9BMLT0081,ضملت2006,اختيارخ وبملت-2800-1398/02/22,93738,50,1,29,57,1000,311
212,17237314339763699,IRR1GOST0101,خگسترح,ح . سرمايه‌گذاري‌ايران‌خودرو,122959,12524336,1,601,34,900000000,400
213,17269972595370241,IRO7ATSP0001,وآتوس,س.آرين توسكا قيمت اسمي 350ريال,125059,1767196,1,648,65,60000000,309
214,17284166795866794,IRO7VHYP0001,واحيا,م .صنايع و معادن احياء سپاهان,124422,1326351,1,908,65,1000000000,309
215,17330546482145553,IRO1MHKM0001,خمهر,مهركام‌پارس‌,122949,23909192,744708,1441,34,1861769476,300
216,17528249960294496,IRO1TMEL0001,وتوسم,سرمايه‌گذاري‌توسعه‌ملي‌,122901,3179489,1800000,498,56,4500000000,300
217,17617474823279712,IRO3ASPZ0001,آ س پ,آ.س.پ,122941,2532904,1,574,70,900000000,303
218,17661113951261114,IRO6MELZ97B1,تملي711,تسهيلات مسكن ب. ملي-بهمن97,61042,0,1,28,59,15358,307
219,17780822022616031,IRO9IKCO0991,ضخود1023,اختيارخ خودرو-4400-1398/10/15,61106,0,1,6,34,1000,311
220,17800036702302776,IRO1BSTE0001,ثاخت,بين‌المللي‌توسعه‌ساختمان,122944,4938811,2400000,595,70,6000000000,300
221,17834623106317041,IRO1MNSR0001,خنصير,مهندسي‌نصيرماشين‌,122637,6815725,167785,512,34,207166420,300
222,17933573078185644,IRO7BHEP0001,آينده,بازرگاني آينده سازان بهشت پارس,61043,0,1,506,1,417831000,309
223,17939384202383793,IRO3CGRZ0001,ثغرب,شركت سرمايه گذاري مسكن شمالغرب,122953,14805414,1,1442,70,900000000,303
224,18004480270695404,IRO1ALMR0001,فمراد,آلومراد,120156,1343036,67889,942,27,49535498,300
225,18027801615184692,IRO1CHML0001,كچاد,معدني‌وصنعتي‌چادرملو,122949,12611336,2034174,1995,13,44000000000,300
226,18056637179470153,IRO9IKCO0831,ضخود3026,اختيارخ خودرو-5000-1398/03/19,61106,0,1,27,34,1000,311
227,18063426072758458,IRO1SBAH0001,وبهمن,سرمايه‌گذاري‌بهمن‌,122831,1819938,1100000,584,56,2750000000,300
228,18067743398074470,IRB3TB470041,اخزا716,اسنادخزانه-م16بودجه97-000407,122947,9553,1,212,69,10679169,306
229,18093681647131179,IRO3DTDZ0001,دتوليد,داروسازي توليد دارو,122932,3017075,1,864,43,370000000,303
230,18098201060751341,IRO9MKBT0181,ضمخا3013,اختيارخ اخابر-2800-1398/03/29,61107,0,1,50,64,1000,311
231,18206377705353466,IRO9MKBT0381,ضمخا1005,اختيارخ اخابر-2800-1398/10/11,61108,0,1,7,64,1000,311
232,18275313863657221,IRB6SP040141,صايپا104,صكوك اجاره سايپا - 3ماهه18%,122305,1000,1,84,34,3900000,208
233,18303237082155264,IRO1FTIR0001,دفرا,فرآورده‌هاي‌ تزريقي‌ ايران‌,121743,69563,280000,603,43,700000000,300
234,18346219759153870,IRO7PESP0001,شصفها,پتروشيمي‌ اصفهان‌,61047,0,1,638,44,300000000,309
235,18401147983387689,IRO1MINO0001,غپينو,پارس‌ مينو,122935,3565615,504000,663,42,1260000000,300
236,18568915061663137,IRB3SA0400B1,اروند04,منفعت صبا اروند كاردان14001113,115301,19330,1,90,69,1000000,306
237,18599703143458101,IRO1OMID0001,اميد,تامين سرمايه اميد,122817,696699,2400000,578,67,6000000000,300
238,18683861709119246,IRB3SR2199B1,سلامت1,مرابحه دولتي تعاون-ملت991118,61026,0,1,143,69,3500000,306
239,18822704361279128,IRB4SI4299C2,اجاد422,اجاره دولت-واجدشرايط خاص991224,61028,0,1,22,69,1500000,706
240,18883380772506226,IRO3ZNDZ0001,ثرود,سرمايه‌گذاري مسكن زاينده رود,122809,1624404,1,467,70,500000000,303
241,18975908896241948,IRT1OMEL0002,افق ملت2,صندوق س در سهام افق ملت,113514,2100000,1,16,68,50000000,305
242,18982971907252877,IRR7SASP0101,سجامح,ح.مجتمع سيمان غرب آسيا,123101,891157,1,82,53,509128950,404
243,19024886606470752,IRB4SI4299C1,اجاد42,اجاره دولت-واجدشرايط خاص991224,61028,0,1,121,69,1500000,706
244,19257295292088310,IRO1INDM0001,خكمك,كمك‌فنرايندامين‌,122959,5991888,275482,550,34,320857300,300
245,19298748452450329,IRO1TRIR0001,تايرا,تراكتورسازي‌ايران‌,122354,1053084,720000,570,29,1800000000,300
246,19367527798307032,IRO7ALTP0001,فالوم,آلومتك‌,61043,0,1,470,27,750000000,309
247,19471788163911687,IRO1NSPS0001,كفپارس,فرآورده‌هاي‌ نسوز پارس‌,124048,2388660,58679,673,54,100000000,300
248,19839750988634567,IRO7KARP0001,وآفري,بيمه كارآفرين,123044,1159988,1,515,66,1750000000,309
249,19920168236103182,IRO3MSZ96101,تسه9610,امتياز تسهيلات مسكن دي96,122906,490,1,88,59,1629968,303
250,20024911381434086,IRO1KIMI0001,دكيمي,كيميدارو,122951,731678,230400,690,43,576000000,300
251,20034264486679145,IRO7SASP0001,سجام,مجتمع سيمان غرب آسيا,123030,1410059,1,659,53,2051943950,309
252,20393717141867821,IRO6MSKZ9791,تسه9709,امتياز تسهيلات مسكن آذر97,122828,2071,1,100,59,1854117,307
253,20411759370751096,IRO1KNRZ0001,كنور,توسعه معدني و صنعتي صبانور,122938,8283493,1174569,866,13,2936422000,300
254,20453828618330936,IRO1NIRO0001,بنيرو,نيروترانس‌,122957,2142517,200000,761,31,500000000,300
255,20487994977117557,IRO1SHAD0001,غشهد,شهد ايران‌,122947,524235,80000,657,42,200000000,300
256,20560887114747719,IRO1PSER0001,كسرام,پارس‌ سرام‌,122433,1487563,24000,1111,54,60000000,300
257,20562694899904339,IRO1PRDZ0001,شپديس,پتروشيمي پرديس,122941,6080161,609682,1096,44,6000000000,300
258,20865316761157979,IRO1MARK0001,فاراك,ماشين‌ سازي‌ اراك‌,123000,74030507,2514619,2248,28,6286547978,300
259,20871691400007862,IRK1A0349881,زعف9808پ09,زعفران9808نگين نوين(پ),121207,201,1,176,42,1000000,701
260,20926459161497908,IRO3PMTZ0001,ثتران,سرمايه گذاري مسكن تهران,122937,29947848,1,1833,70,1200000000,303
261,20946530370469828,IRO1LZIN0001,وليز,ليزينگ‌ايران‌,122946,5215449,454545,486,58,600000000,300
262,20966291817819448,IRO7LSDP0001,فسديد,لوله‌وتجهيزات‌ سديد - ورشكسته,61046,0,1,522,27,97800000,309
263,21166660564301770,IRB3SS310051,شستا001,اجاره تامين اجتماعي-امين000523,61026,0,1,175,69,3000000,306
264,21388492749900591,IRB5MMSH9951,مشهد995,مشاركت شهرداري مشهد-3ماهه16%,61049,0,1,65,45,2000000,301
265,21500060221654011,IRR1RKSH0101,ركيشح,ح. كارت اعتباري ايران كيش,122951,1544793,1,334,72,600000000,400
266,21524058405934926,IRR3TKMZ0101,اتكامح,ح. شركت بيمه اتكايي امين,122928,314090,1,169,66,500000000,403
267,21526096742651555,IRO9MAPN0381,ضپنا1008,اختيارخ رمپنا-7500-1398/10/18,61107,0,1,3,74,1000,311
268,21607242972640064,IRO3PGHZ0001,شغدير,پتروشيمي غدير,122945,6259381,1,1328,44,1300000000,303
269,21851863906501460,IRO3MSZ96041,تسه9604,امتياز تسهيلات مسكن تير96,121212,184,1,92,59,1293070,303
270,21975084841121789,IRO9MKBT0201,ضمخا3015,اختيارخ اخابر-3200-1398/03/29,61107,0,1,19,64,1000,311
271,22086876724551482,IRO1MOTJ0001,بموتو,موتوژن‌,122956,3956472,272160,1630,31,680400000,300
272,22087269603540841,IRO1BPST0001,وپست,پست بانك ايران,122943,20191166,1293380,1475,57,3233451000,300
273,22164355468450959,IRB4SM099991,اشاد9,مشاركت دولتي9-شرايط خاص990909,122833,53800,1,189,69,49324828,706
274,22255783119783047,IRO1DRZK0001,درازك,دارويي‌ رازك‌,122851,630900,237200,729,43,593000000,300
275,22260326095996531,IRO1HTOK0001,حتوكا,حمل‌ونقل‌توكا,123639,5248063,177368,908,60,330000000,300
276,22275596386264204,IRO3BKSZ0001,كوثر,بيمه كوثر,122937,3235259,1,527,66,2500000000,303
277,22299894048845903,IRO1GCOZ0001,غگل,گلوكوزان‌,122939,2038867,80000,1497,42,200000000,300
278,22308305646551497,IRO7TPOP0001,تپولا,مهندسي مرآت پولاد,61049,0,1,627,74,125970000,309
279,22382156782768756,IRO1KGND0001,بكام,كارخانجات توليدي شهيد قندي,122906,7233910,240000,1354,31,600000000,300
280,22390160904430441,IRB3TB219891,اخزا610,اسنادخزانه-م10بودجه96-980911,121942,1434,1,186,69,17000000,306
281,22458646190757028,IRO9IKCO0841,ضخود7020,اختيارخ خودرو-3400-1398/07/14,61106,0,1,8,34,1000,311
282,22560050433388046,IRO1PTAP0001,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,122957,41512692,4228330,2044,44,81500000000,300
283,22758878712849085,IRO9MSMI0971,ضملي2022,اختيارخ فملي -3800-1398/02/25,61108,0,1,32,27,1000,311
284,22787503301679573,IRO1ROOI0001,كروي,توسعه‌ معادن‌ روي‌ ايران‌,122932,2636890,965580,1079,13,2413950000,300
285,22811176775480091,IRO1MKBT0001,اخابر,مخابرات ايران,122938,20878851,3779289,1427,64,60000000000,300
286,22839330962768817,IRT3SMIF0001,آتيمس,صندوق س.آرمان آتيه درخشان مس-س,122733,13031,1,115,68,1000000000,305
287,22903901709044823,IRO1RTIR0001,ختراك,ريخته‌گري‌ تراكتورسازي‌ ايران‌,122952,3099331,91224,888,34,213000000,300
288,22941065011246116,IRO3TBSZ0001,كپرور,فرآوري زغال سنگ پروده طبس,122357,367432,1,779,10,360000000,303
289,22950683624908253,IRO7PTOP0001,نتوس,پشم‌ بافي‌ توس,113457,84175,1,298,17,29400000,309
290,22956708386610464,IRO7KHDP0001,خودكفا,اقتصادي و خودكفايي آزادگان,123102,440581,1,681,42,500000000,309
291,23049019886587905,IRO7KHEP0001,خفولا,خدمات فني فولاد يزد,123021,1032039,1,731,74,48210000,309
